neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,type,rating,bedroom,bed,bath
sterbro,55.70865580054368,12.559967521657876,Private room,771,3,2,354,Rental unit in Copenhagen · ★New ·,,1.0,1.0,1.0
Amager st,55.66678401725655,12.621370188616766,Entire home/apt,690,5,4,4,Loft in Copenhagen · ★,5.0,2.0,2.0,1.0
sterbro,55.71500922896788,12.575842634918208,Entire home/apt,975,7,2,141,Condo in Copenhagen ·,,2.0,2.0,1.0
sterbro,55.70833,12.58504,Private room,670,1,26,316,Condo in Copenhagen · ★,4.96,1.0,1.0,
Vesterbro-Kongens Enghave,55.66568,12.55504,Entire home/apt,1200,3,9,309,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.71239174066255,12.563775730688493,Entire home/apt,1200,28,0,4,Condo in Copenhagen ·,,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.67133,12.56061,Entire home/apt,1800,3,3,99,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
Nrrebro,55.69630799999999,12.546976,Entire home/apt,1071,4,6,2,Condo in Copenhagen · ★,4.83,2.0,2.0,1.0
Indre By,55.67888,12.58216,Entire home/apt,999,2,8,293,Rental unit in Copenhagen · ★,4.88,1.0,1.0,1.0
Indre By,55.67421,12.57716,Entire home/apt,2429,3,4,17,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
Amager st,55.66126,12.605,Entire home/apt,800,1,1,149,Condo in Copenhagen ·,,1.0,1.0,1.0
Valby,55.6541662,12.5190628,Entire home/apt,1200,5,4,191,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
sterbro,55.7112063,12.5772295,Private room,399,1,20,5,Condo in Copenhagen · ★,4.9,1.0,1.0,
Amager Vest,55.6528,12.59362,Entire home/apt,1695,3,3,198,Villa in Copenhagen · ★,3.67,3.0,3.0,5.0
sterbro,55.70001864835884,12.587172853442365,Entire home/apt,900,5,3,0,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.70987,12.55855,Entire home/apt,8000,3,0,0,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.6654639735676,12.545683309435844,Private room,306,3,3,0,Condo in Copenhagen · ★,5.0,1.0,1.0,
Frederiksberg,55.6843058305844,12.54669998954926,Entire home/apt,1500,3,4,0,Condo in Frederiksberg · ★,4.75,2.0,2.0,1.0
Amager Vest,55.6343,12.57858,Private room,400,1,6,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Amager Vest,55.6357,12.58025,Entire home/apt,800,1,4,0,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.68733,12.58714,Entire home/apt,1207,5,5,166,Serviced apartment in Copenhagen · ★,4.8,1.0,1.0,1.0
Indre By,55.66946,12.58857,Entire home/apt,900,2,3,0,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.6911174,12.5561812,Entire home/apt,793,5,0,122,Condo in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.699698,12.5524393,Entire home/apt,1000,5,1,7,Condo in Copenhagen ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67063,12.54487,Entire home/apt,895,3,1,44,Condo in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.70216,12.54099,Entire home/apt,800,3,1,251,Condo in Copenhagen ·,,1.0,1.0,1.0
Amager Vest,55.6209839,12.5742467,Entire home/apt,1367,1,8,166,Rental unit in Copenhagen · ★,4.13,1.0,1.0,1.0
Indre By,55.68111529780096,12.59243161904906,Entire home/apt,3741,1,19,132,Rental unit in Copenhagen · ★,4.74,6.0,6.0,1.0
Amager Vest,55.6209839,12.5742467,Entire home/apt,1128,1,8,171,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.6650079,12.5530368,Entire home/apt,1100,3,3,12,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.69858810782509,12.58745200932026,Entire home/apt,1450,1,3,330,Condo in Copenhagen · ★,4.67,2.0,2.0,1.0
Valby,55.66596,12.52092,Entire home/apt,766,6,2,2,Condo in Copenhagen ·,,2.0,2.0,1.0
Frederiksberg,55.68055,12.5463558,Entire home/apt,2036,2,20,325,Condo in Frederiksberg · ★,4.8,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.66661,12.55159,Entire home/apt,1800,2,0,0,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66962,12.55633,Entire home/apt,1857,3,3,0,Condo in Copenhagen · ★,4.67,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66756,12.54832,Entire home/apt,950,1,2,0,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66616,12.5507,Entire home/apt,1050,3,5,154,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.6687168,12.5795851,Entire home/apt,2106,1,13,11,Rental unit in Copenhagen · ★,4.62,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.64924,12.55015,Private room,350,3,2,0,Condo in Copenhagen ·,,1.0,1.0,
Nrrebro,55.69403,12.5454,Entire home/apt,820,2,4,11,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.70207207397558,12.580505423247814,Entire home/apt,1143,15,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.70535,12.57835,Entire home/apt,2689,5,0,12,Rental unit in Copenhagen ·,,3.0,3.0,2.0
Vanlse,55.6960454,12.5106991,Entire home/apt,550,2,6,0,Rental unit in Copenhagen · ★,4.83,1.0,1.0,1.0
Nrrebro,55.70292,12.5476,Private room,520,2,15,72,Condo in Copenhagen · ★,5.0,1.0,1.0,
Frederiksberg,55.67691500920477,12.55089146085206,Entire home/apt,1300,4,1,0,Condo in Frederiksberg ·,,2.0,2.0,1.0
Nrrebro,55.6949789,12.5395573,Entire home/apt,1000,2,1,0,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66519,12.54232,Private room,500,3,3,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Bispebjerg,55.71253,12.53233,Entire home/apt,970,1,9,10,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Amager st,55.66522,12.60553,Entire home/apt,900,7,3,0,Loft in Copenhagen · ★,5.0,1.0,1.0,1.0
Bispebjerg,55.70884,12.53445,Private room,650,3,6,34,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Vesterbro-Kongens Enghave,55.66118,12.56198,Entire home/apt,1786,1,15,156,Rental unit in Copenhagen · ★,4.93,1.0,1.0,1.0
Nrrebro,55.699225,12.5406169,Entire home/apt,775,25,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.6786798,12.5914614,Entire home/apt,3250,1,5,357,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.69827,12.54059,Entire home/apt,1000,5,3,26,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.6663,12.53331,Entire home/apt,1864,3,1,56,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66715,12.55608,Entire home/apt,1586,1,6,240,Condo in Copenhagen · ★,4.83,1.0,1.0,1.0
Indre By,55.67709,12.59073,Entire home/apt,1000,1,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.68965231898374,12.574795000255108,Private room,400,2,13,41,Rental unit in Copenhagen · ★,4.54,1.0,1.0,
sterbro,55.7002073,12.5771523,Entire home/apt,2013,30,0,31,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.69195,12.5571,Entire home/apt,1857,7,0,0,Condo in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.68404349999999,12.5820402,Entire home/apt,1201,2,42,159,Rental unit in Copenhagen · ★,4.9,1.0,1.0,
Indre By,55.68404349999999,12.5820402,Entire home/apt,1400,2,30,129,Rental unit in Copenhagen · ★,4.93,1.0,1.0,1.0
sterbro,55.7003,12.58022,Entire home/apt,1700,2,6,47,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.64582,12.55178,Entire home/apt,2086,2,1,0,Rental unit in Copenhagen ·,,4.0,4.0,1.0
Vesterbro-Kongens Enghave,55.671188,12.544684,Entire home/apt,999,1,5,86,Rental unit in Copenhagen · ★,4.6,1.0,1.0,1.0
Indre By,55.68134660601413,12.563633993268011,Entire home/apt,1300,1,4,85,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Vanlse,55.69246,12.50341,Entire home/apt,580,1,1,184,Condo in Copenhagen ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.64978,12.55381,Private room,486,1,2,0,Rental unit in Copenhagen ·,,1.0,1.0,
Amager Vest,55.6584741,12.5684084,Entire home/apt,550,5,2,222,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.71012,12.56936,Entire home/apt,730,6,1,16,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.684023,12.582309,Entire home/apt,1500,2,31,0,Rental unit in Copenhagen · ★,4.74,1.0,1.0,1.0
Nrrebro,55.6889152,12.5467137,Entire home/apt,705,2,19,0,Condo in Copenhagen · ★,4.95,1.0,1.0,1.0
Indre By,55.68404349999999,12.5820402,Entire home/apt,1500,2,31,113,Rental unit in Copenhagen · ★,4.81,1.0,1.0,1.0
Bispebjerg,55.72609,12.52365,Entire home/apt,450,1,3,228,Rental unit in Søborg · ★,5.0,1.0,1.0,1.0
Amager Vest,55.66826,12.58111,Entire home/apt,643,10,3,237,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.67345109999999,12.5917149,Entire home/apt,1200,3,3,14,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.69879,12.57843,Entire home/apt,545,4,5,135,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager st,55.66663,12.61622,Entire home/apt,975,5,3,45,Rental unit in Copenhagen · ★,4.67,2.0,2.0,1.0
Nrrebro,55.69773010626567,12.550354711711408,Entire home/apt,849,1,15,0,Rental unit in Copenhagen · ★,4.87,1.0,1.0,1.0
sterbro,55.71357,12.57759,Entire home/apt,1000,3,1,309,Rental unit in Copenhagen ·,1.5,2.0,2.0,5.0
Nrrebro,55.68486009999999,12.5544501,Private room,530,1,0,81,Rental unit in Copenhagen ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.65209,12.53639,Entire home/apt,1317,3,11,121,Rental unit in Copenhagen · ★,4.91,2.0,2.0,2.0
Vesterbro-Kongens Enghave,55.668102,12.5463354,Entire home/apt,650,2,3,2,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.681252917764,12.594973287473428,Entire home/apt,3724,1,2,362,Boat in Copenhagen ·,,4.0,4.0,3.0
Amager st,55.64699,12.6242,Entire home/apt,658,4,2,201,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Valby,55.6555013,12.5053751,Entire home/apt,826,5,2,240,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Amager Vest,55.634791,12.57897,Entire home/apt,700,7,1,119,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.70891,12.57224,Entire home/apt,850,5,1,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.6919833,12.5565458,Entire home/apt,1000,5,1,22,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66958,12.56532,Private room,750,1,1,0,Condo in Copenhagen ·,,1.0,1.0,
Nrrebro,55.697411157548274,12.555936723947523,Entire home/apt,1100,2,5,2,Rental unit in Copenhagen · ★,4.6,2.0,2.0,1.0
sterbro,55.70037,12.58057,Entire home/apt,1769,7,1,15,Rental unit in Copenhagen ·,,3.0,3.0,1.0
sterbro,55.70984981819445,12.570089798081153,Entire home/apt,1595,2,3,179,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.659771526100165,12.601702617196642,Entire home/apt,857,3,3,8,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66401,12.55398,Entire home/apt,1400,2,0,168,Condo in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.69695919632208,12.545220293104649,Entire home/apt,1600,4,8,16,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.6468,12.54953,Entire home/apt,1800,3,0,56,Rental unit in Copenhagen · ★New ·,,2.0,2.0,2.0
Valby,55.65962880820819,12.514875577362918,Entire home/apt,750,3,1,26,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager st,55.6574715,12.6087737,Entire home/apt,1200,4,1,197,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.6894,12.53984,Entire home/apt,800,5,1,0,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Valby,55.65463,12.49569,Entire home/apt,1100,2,0,238,Home in Copenhagen ·,,3.0,3.0,2.0
Valby,55.6528267,12.4964213,Entire home/apt,1200,7,0,0,Home in Copenhagen ·,,4.0,4.0,2.0
Bispebjerg,55.7221262,12.5578109,Entire home/apt,650,1,2,65,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Frederiksberg,55.67381670066011,12.540747688360602,Entire home/apt,829,2,0,189,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Indre By,55.6779844,12.5697216,Entire home/apt,3143,2,25,34,Rental unit in Copenhagen · ★,4.88,3.0,3.0,5.0
Amager Vest,55.66573817596344,12.5802643597126,Entire home/apt,600,1,5,0,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Amager Vest,55.63629,12.57824,Private room,372,1,13,0,Rental unit in Copenhagen · ★,4.69,1.0,1.0,
Nrrebro,55.6917099,12.5592873,Entire home/apt,850,5,1,23,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.67637,12.59679,Entire home/apt,845,5,1,0,Rental unit in Copenhagen ·,1.5,1.0,1.0,5.0
Indre By,55.68990703540276,12.572938227508551,Private room,350,2,0,0,Rental unit in Copenhagen ·,,1.0,1.0,
Nrrebro,55.69392,12.54497,Entire home/apt,1100,2,7,2,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64948,12.54182,Entire home/apt,900,2,3,3,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66632,12.55028,Entire home/apt,1350,2,6,12,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66908,12.54636,Entire home/apt,1243,1,8,2,Rental unit in Copenhagen · ★,4.5,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66769,12.55648,Entire home/apt,1229,2,7,32,Rental unit in Copenhagen · ★,4.71,1.0,1.0,1.0
Amager st,55.65626899999999,12.610085,Entire home/apt,1033,7,0,23,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66933807741295,12.550164030688476,Entire home/apt,1100,1,2,321,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.65663,12.55114,Private room,553,1,4,2,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Vesterbro-Kongens Enghave,55.67185,12.5548,Private room,200,1,1,176,Home in Copenhagen ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.66524570000001,12.5323979,Entire home/apt,1300,5,0,240,Rental unit in Copenhagen ·,,2.0,2.0,2.0
Vesterbro-Kongens Enghave,55.64666,12.54701,Entire home/apt,1150,2,5,0,Rental unit in København SV · ★,5.0,3.0,3.0,5.0
Indre By,55.6817202,12.58383,Entire home/apt,1086,4,11,116,Rental unit in Copenhagen · ★,3.82,2.0,2.0,1.0
Vanlse,55.69387198698475,12.49664045870304,Entire home/apt,710,2,10,1,Rental unit in Copenhagen · ★,4.2,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.656,12.55253,Entire home/apt,1800,1,1,0,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Nrrebro,55.70538,12.56141,Entire home/apt,899,5,3,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.7140372,12.5637885,Entire home/apt,1100,1,8,29,Rental unit in Copenhagen · ★,4.75,3.0,3.0,1.0
Nrrebro,55.69474,12.54342,Entire home/apt,1000,1,3,143,Condo in Copenhagen · ★,4.67,1.0,1.0,1.0
Nrrebro,55.68645,12.54707,Shared room,628,4,4,321,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Brnshj-Husum,55.70008,12.47774,Entire home/apt,3100,2,11,33,Home in Copenhagen · ★,5.0,4.0,4.0,5.0
Frederiksberg,55.6851,12.53655,Entire home/apt,743,2,3,273,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Frederiksberg,55.68041,12.51656,Entire home/apt,1200,2,1,348,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.65665130152043,12.559557134945576,Entire home/apt,1397,1,0,364,Condo in Copenhagen · ★New ·,,1.0,1.0,1.0
Indre By,55.6797463,12.5897147,Entire home/apt,4000,1,0,364,Rental unit in Copenhagen ·,1.5,1.0,1.0,5.0
Vesterbro-Kongens Enghave,55.6707152,12.5571396,Entire home/apt,1450,3,1,338,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.70779,12.59352,Entire home/apt,875,4,5,304,Rental unit in Copenhagen · ★,4.2,1.0,1.0,1.0
Indre By,55.67246,12.59098,Entire home/apt,1580,3,5,18,Rental unit in Copenhagen · ★,4.8,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.65153,12.55464,Entire home/apt,1929,1,2,264,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.70096287143107,12.543081901967524,Entire home/apt,921,5,5,350,Rental unit in Copenhagen · ★,4.6,1.0,1.0,1.0
Frederiksberg,55.68088,12.54571,Entire home/apt,950,3,2,0,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
sterbro,55.70582,12.56126,Entire home/apt,645,2,51,188,Rental unit in Copenhagen · ★,4.86,1.0,1.0,1.0
Nrrebro,55.7027071,12.5491839,Entire home/apt,850,3,0,214,Rental unit in Copenhagen ·,,2.0,2.0,1.0
sterbro,55.70891,12.58493,Entire home/apt,1609,1,0,153,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.68887,12.54939,Entire home/apt,1400,5,1,0,Rental unit in Copenhagen ·,,1.0,1.0,2.0
Bispebjerg,55.6974183,12.5275356,Entire home/apt,750,4,5,237,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.69351,12.58812,Entire home/apt,2504,3,0,301,Rental unit in Copenhagen ·,1.5,3.0,3.0,5.0
Frederiksberg,55.6815428,12.5491768,Entire home/apt,900,2,1,0,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
sterbro,55.70865,12.58254,Entire home/apt,2893,3,5,136,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.68447,12.56592,Entire home/apt,2200,2,6,337,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Amager Vest,55.63323,12.57707,Entire home/apt,10000,60,14,255,Rental unit in Copenhagen · ★,4.71,2.0,2.0,1.0
Indre By,55.67114,12.5938,Entire home/apt,1067,1,3,0,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Valby,55.66648154493768,12.509716266500517,Entire home/apt,960,4,0,311,Rental unit in Copenhagen · ★New ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.6639707,12.5456063,Entire home/apt,799,1,32,0,Rental unit in Copenhagen · ★,4.97,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66664,12.53157,Entire home/apt,1963,14,0,0,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.6699369633085,12.543748430907726,Entire home/apt,2100,1,2,363,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.6847,12.61476,Entire home/apt,760,2,6,7,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67169,12.54529,Entire home/apt,1200,2,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Frederiksberg,55.67143,12.53287,Entire home/apt,1100,1,5,242,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66462961162098,12.550648989449344,Entire home/apt,1943,4,0,41,Condo in Copenhagen ·,,4.0,4.0,1.0
Nrrebro,55.68989875717536,12.563263513147833,Entire home/apt,1200,1,5,32,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.70673,12.58835,Entire home/apt,799,5,2,1,Rental unit in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.70934,12.58345,Entire home/apt,608,3,1,11,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Frederiksberg,55.6834,12.51382,Entire home/apt,1200,3,0,364,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Frederiksberg,55.67937,12.52095,Entire home/apt,970,4,2,18,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Frederiksberg,55.68583360181685,12.53550231282634,Entire home/apt,943,3,3,0,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Amager st,55.65924,12.61891,Private room,245,1,6,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,
Valby,55.6710489,12.4916868,Entire home/apt,650,3,1,7,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.68274,12.57465,Entire home/apt,1528,2,13,26,Rental unit in Copenhagen · ★,4.62,1.0,1.0,1.0
Valby,55.66721,12.50629,Entire home/apt,950,2,4,187,Rental unit in Copenhagen · ★,4.25,1.0,1.0,1.0
Frederiksberg,55.6865533,12.5284412,Entire home/apt,980,3,0,0,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
sterbro,55.711777739065525,12.5670762732625,Private room,700,3,0,364,Rental unit in Copenhagen ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.64402,12.54752,Entire home/apt,825,1,0,192,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager Vest,55.66841398460478,12.579626453967292,Entire home/apt,1067,2,4,0,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.68392,12.57654,Entire home/apt,2316,4,20,63,Rental unit in Copenhagen · ★,4.95,2.0,2.0,1.0
Indre By,55.68021,12.56542,Entire home/apt,1528,6,1,8,Rental unit in Copenhagen ·,,3.0,3.0,2.0
Amager Vest,55.64197,12.59858,Entire home/apt,729,7,1,212,Home in Copenhagen ·,,2.0,2.0,1.0
Amager st,55.66434479999999,12.6047489,Entire home/apt,1043,4,8,2,Rental unit in Copenhagen · ★,4.88,1.0,1.0,1.0
Nrrebro,55.699485,12.549652,Entire home/apt,799,1,3,119,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager st,55.654919,12.617722,Entire home/apt,900,3,0,235,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.68272,12.57598,Entire home/apt,5000,4,1,230,Rental unit in Copenhagen ·,,5.0,5.0,2.0
Indre By,55.6905042,12.5736704,Entire home/apt,2457,5,2,20,Home in Copenhagen ·,2.5,3.0,3.0,5.0
Nrrebro,55.7011148,12.5447835,Entire home/apt,599,10,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager st,55.65793,12.60908,Entire home/apt,650,3,1,23,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.6924,12.53617,Entire home/apt,972,5,9,107,Rental unit in Frederiksberg · ★,4.11,2.0,2.0,1.0
Frederiksberg,55.68511,12.54638,Entire home/apt,899,3,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager st,55.65490092339689,12.617722414433956,Entire home/apt,500,180,1,58,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager st,55.6625825,12.6064259,Entire home/apt,800,2,2,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64935,12.55198,Entire home/apt,890,2,1,152,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.68521930000001,12.5658629,Private room,750,5,0,0,Rental unit in Copenhagen ·,,1.0,1.0,
Bispebjerg,55.70014620000001,12.5369525,Entire home/apt,850,2,5,127,Rental unit in Copenhagen · ★,4.8,2.0,2.0,1.0
Nrrebro,55.69487549999999,12.5451412,Entire home/apt,3000,1,9,242,Rental unit in Copenhagen · ★,4.78,1.0,1.0,1.0
Indre By,55.67210306157029,12.5875201963257,Entire home/apt,1500,2,2,224,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Valby,55.65588,12.50732,Entire home/apt,650,3,4,252,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.69411,12.54111,Entire home/apt,1046,1,1,364,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Brnshj-Husum,55.70695,12.50405,Entire home/apt,1050,5,1,210,Home in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.69464334479105,12.538634650262468,Entire home/apt,1400,2,0,212,Condo in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.6718273,12.5904162,Entire home/apt,1050,4,6,4,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Frederiksberg,55.67622,12.53237,Entire home/apt,1100,3,1,151,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
Valby,55.65533,12.49854,Private room,500,3,3,77,Home in Copenhagen · ★,5.0,1.0,1.0,
sterbro,55.69925,12.58446,Entire home/apt,4314,2,3,358,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Nrrebro,55.70147,12.55046,Entire home/apt,957,5,15,16,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.665425,12.582421,Entire home/apt,1271,5,0,21,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Valby,55.66279,12.51535,Entire home/apt,1100,2,0,9,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Amager Vest,55.6322,12.57334,Private room,420,7,1,350,Hotel in Copenhagen ·,,1.0,1.0,
Amager st,55.66438229356245,12.601458840072151,Entire home/apt,1620,3,12,321,Rental unit in Copenhagen · ★,4.75,1.0,1.0,1.0
Amager Vest,55.6310778,12.5738743,Private room,420,7,0,315,Aparthotel in Copenhagen ·,,1.0,1.0,
Amager Vest,55.63033,12.57298,Private room,420,7,1,353,Aparthotel in Copenhagen ·,,1.0,1.0,
Amager Vest,55.63404329999999,12.5826467,Entire home/apt,1350,2,2,210,Condo in Copenhagen ·,,2.0,2.0,1.0
Amager st,55.65084857358957,12.63591365714722,Entire home/apt,1880,1,0,301,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.68115567927818,12.562828660011292,Entire home/apt,1364,3,5,14,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Valby,55.66692,12.50932,Entire home/apt,729,3,17,0,Rental unit in Copenhagen · ★,4.94,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67026,12.54718,Entire home/apt,903,30,0,260,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66456589210691,12.537211887538431,Entire home/apt,850,10,1,181,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67225,12.54605,Private room,750,2,4,316,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,
Nrrebro,55.69045,12.56342,Private room,423,1,3,28,Rental unit in Copenhagen · ★,4.33,1.0,1.0,
