id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
684488512904996378,Rental unit in Copenhagen · ★5.0 · 2 bedrooms · 3 beds · 1 bath,147143985,Brendan,,Nrrebro,55.70206,12.53836,Entire home/apt,875,3,11,2023-03-27,1.00,1,0,11,
684520986395442824,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,211190409,Alberte,,Valby,55.671202421101086,12.491182498633862,Entire home/apt,750,2,4,2023-06-18,1.48,1,8,4,
684546694630537533,Rental unit in Copenhagen · ★4.67 · 1 bedroom · 1 bed · 1 bath,100874656,Mira,,Brnshj-Husum,55.70716,12.51122,Entire home/apt,600,2,6,2022-10-24,0.59,1,318,6,
684548531181444630,Serviced apartment in Copenhagen · 1 bedroom · 1 bed · 1 bath,424093643,Seneca,,Valby,55.66214,12.483,Entire home/apt,690,3,2,2022-08-22,0.19,18,0,2,
680849221884738928,Condo in Frederiksberg · ★4.69 · 1 bedroom · 1 bed · 1 bath,54487058,Martin,,Frederiksberg,55.68202367041402,12.507648579776287,Entire home/apt,881,3,13,2023-02-13,1.38,1,1,13,
684550219276216598,Serviced apartment in Copenhagen · 1 bedroom · 1 bed · 1 bath,424093643,Seneca,,Valby,55.66444,12.48481,Entire home/apt,690,3,1,2022-09-04,0.10,18,0,1,
684562208363160394,Loft in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,6978202,Toke,,Nrrebro,55.68715,12.55055,Entire home/apt,866,3,7,2023-05-29,0.66,1,191,7,
685316647733601683,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,53336603,Andreas,,Vesterbro-Kongens Enghave,55.66574,12.5484,Entire home/apt,1000,2,3,2023-05-15,0.29,1,13,3,
685377856567596304,Condo in Copenhagen · 1 bedroom · 1 bed · 1 shared bath,403549641,Felix,,Amager Vest,55.65633,12.60919,Private room,800,1,1,2022-09-18,0.11,2,328,1,
684565552391189965,Bed and breakfast in Copenhagen · ★4.77 · 2 bedrooms · 2 beds · 1 private bath,49316275,Henrik,,Amager Vest,55.64109,12.58791,Private room,500,1,13,2023-02-28,1.35,1,0,13,
685391155200544345,Rental unit in Copenhagen · 2 bedrooms · 2 beds · 1 bath,147159172,Liv,,Indre By,55.67737140703445,12.581020661527223,Entire home/apt,2088,3,1,2023-06-04,1,1,0,1,
